src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,pkt_count,pkt_size_avg,bytes_sent,bytes_received,conn_count_last_10s,same_dst_count,srv_serror_rate,dst_host_srv_count,dst_host_same_srv_rate,is_malicious,attack_type,country_src,country_dst,entropy,flow_id,honeypot_flag
125.43.83.216,79.17.209.124,55497,1130,TCP,7897,586,1209,40109,13123,43,17,0.7,35,0.33,0,Normal,Germany,UK,0.423,1,0
226.7.50.112,245.125.30.142,6781,6249,UDP,1523,905,1059,169,5136,35,14,0.86,11,0.14,1,Normal,USA,USA,0.631,2,0
251.218.230.145,63.199.81.170,55311,4792,UDP,8532,860,439,49109,22268,6,11,0.86,10,0.35,0,Normal,UK,UK,0.698,3,1
216.24.72.177,26.97.191.125,51706,74,ICMP,2143,754,604,1593,37206,49,25,0.4,26,0.13,0,Normal,USA,Russia,0.514,4,0
158.127.64.235,170.221.207.65,18710,4036,TCP,1019,849,169,1605,18862,28,16,0.81,27,0.95,1,Normal,USA,India,0.664,5,0
170.172.83.163,189.203.77.180,3354,4677,TCP,1157,252,1374,31009,43635,22,4,0.89,19,0.54,0,Normal,India,USA,0.96,6,0
55.126.40.141,68.207.241.64,22915,6464,TCP,554,562,179,19562,29838,1,26,0.75,44,0.38,0,Normal,Russia,UK,0.468,7,0
192.127.208.138,198.43.116.53,5686,512,UDP,3182,834,1068,7218,9343,7,29,0.24,41,0.37,0,Normal,Russia,USA,0.248,8,0
27.40.98.170,82.69.8.127,55935,952,UDP,9546,691,752,24086,6676,28,27,0.6,27,0.65,0,Normal,Russia,India,0.256,9,0
166.128.227.27,14.80.1.184,51741,2515,UDP,4474,970,1051,11769,33868,20,13,0.81,6,0.27,0,Botnet,India,Germany,0.16,10,0
88.14.3.151,170.154.5.165,1489,6640,TCP,7716,457,1218,1082,35936,13,25,0.2,46,0.61,0,Normal,UK,China,0.19,11,0
126.38.6.141,237.120.77.202,4486,5433,ICMP,6448,963,510,38817,37203,24,16,0.2,33,0.97,0,Normal,UK,Germany,0.811,12,0
73.226.26.35,91.105.223.3,44968,4586,ICMP,9662,432,771,4764,41761,15,24,0.43,11,0.91,0,Normal,Germany,UK,0.76,13,0
52.48.137.166,144.58.239.57,38737,5438,TCP,911,8,253,18522,4352,5,2,1,25,0.66,0,Normal,China,China,0.884,14,0
103.11.225.128,77.195.191.217,39594,1749,ICMP,4454,973,708,28011,4027,16,19,0.1,19,0.03,0,SQL Injection,India,UK,0.652,15,0
106.136.152.236,217.131.61.211,3695,2344,UDP,8891,32,878,38453,32264,49,2,0.97,18,0.42,0,Normal,Russia,Russia,0.928,16,0
98.92.247.251,57.236.244.52,57861,1359,UDP,7048,672,311,10852,45620,46,28,0.09,42,0.39,0,Normal,Russia,Russia,0.43,17,0
74.18.228.133,135.169.102.25,52889,4754,UDP,6756,989,1130,28444,18849,33,2,0.86,16,0.75,0,Normal,China,Russia,0.705,18,0
192.67.187.95,35.23.238.57,23368,4984,TCP,2949,102,353,4886,33664,8,29,0.32,30,0.05,0,Normal,Germany,USA,0.167,19,0
162.243.18.46,181.223.64.148,11478,1394,TCP,6498,451,954,24425,32087,45,19,0.81,34,0.64,1,Normal,China,Russia,0.798,20,0
152.140.156.227,24.158.37.148,15593,2196,ICMP,930,673,440,32618,1179,31,22,0.38,48,0.82,0,Normal,Russia,USA,0.412,21,0
137.231.104.123,124.81.157.212,13870,634,TCP,6159,36,1203,35581,7608,22,12,0.3,1,0.67,0,Normal,India,China,0.57,22,0
69.84.162.114,245.249.98.160,35113,7335,UDP,8215,160,416,46483,34678,35,18,0.15,38,0.56,1,Normal,China,China,0.612,23,0
65.240.49.206,230.18.182.246,21694,3130,TCP,5782,683,1040,14657,48436,13,23,0.54,21,0.31,0,Normal,Russia,UK,0.478,24,0
141.174.23.82,39.59.235.144,16714,234,UDP,9275,268,783,9768,35235,31,23,0.85,45,0.25,1,Normal,India,Germany,0.106,25,0
170.89.202.167,165.102.208.187,10405,6277,TCP,6575,917,829,18730,34165,14,2,0.66,14,0.18,0,Normal,Russia,India,0.226,26,0
170.43.10.12,242.87.83.38,31356,2950,ICMP,9312,881,1075,48768,13714,35,16,0.53,40,0.05,1,Normal,Russia,China,0.281,27,0
104.224.157.89,146.39.50.20,19944,5456,ICMP,4949,906,350,25721,26181,41,14,0.43,44,0.15,0,Botnet,Russia,USA,0.521,28,0
70.93.155.21,204.209.17.151,63413,3398,TCP,5494,205,381,27505,25200,31,12,0.5,37,0.9,0,Normal,China,Russia,0.931,29,0
7.246.150.205,75.225.211.35,26792,7148,TCP,9904,94,1378,31630,35841,47,10,0.4,49,0.73,0,DDoS,Russia,Germany,0.689,30,0
102.13.100.34,6.71.168.106,2105,6223,UDP,3966,726,543,36114,21249,12,24,0.27,30,0.34,0,Normal,Germany,UK,0.206,31,0
254.200.139.253,129.24.69.95,43440,4646,TCP,5999,82,111,1450,34633,44,19,0.23,34,0.93,0,Normal,India,USA,0.488,32,0
21.107.72.174,122.169.243.134,47587,2190,UDP,4581,53,345,29715,9352,14,12,0.3,41,0.19,0,DoS,India,Germany,0.124,33,0
29.51.71.150,104.73.66.51,39875,1398,UDP,1861,115,620,48064,16742,3,17,0.83,29,0.41,0,Botnet,UK,India,0.834,34,0
193.65.155.24,27.31.27.184,30811,3334,UDP,5242,544,1036,39575,47939,43,21,0.03,29,0.56,0,Normal,India,USA,0.251,35,0
49.157.171.226,109.203.105.36,61039,331,UDP,7365,157,346,7412,15923,19,13,0.29,36,0.87,0,Normal,India,Germany,0.971,36,0
23.95.140.239,226.113.94.93,23252,8026,TCP,9441,991,967,16115,24927,2,12,0.98,24,0.51,1,SQL Injection,China,Germany,0.486,37,0
146.68.136.8,148.233.22.177,25125,4964,ICMP,1799,678,1087,45118,28584,28,20,0.76,4,0.15,0,Normal,China,Germany,0.751,38,0
211.81.44.208,68.64.144.25,22963,4222,TCP,1536,929,582,25588,24272,1,15,0.02,22,0.89,0,Normal,India,China,0.548,39,0
213.169.80.70,147.52.84.254,2684,4366,UDP,9830,25,494,35739,35080,46,11,0.03,12,0.86,0,DDoS,USA,China,0.821,40,0
21.125.9.5,63.46.150.211,32965,5823,UDP,6702,192,836,27599,20079,48,1,0.21,36,0.21,1,Normal,Russia,China,0.584,41,0
88.171.105.74,203.147.137.100,50575,6055,UDP,5902,745,459,29364,43523,45,18,0.89,39,0.85,0,Normal,Germany,USA,0.823,42,0
242.34.124.224,33.248.109.226,56207,5733,ICMP,5643,289,957,47388,27511,7,25,0.8,30,0.64,0,Normal,Germany,USA,0.449,43,0
92.192.230.28,21.193.126.145,5899,551,UDP,291,421,815,31273,985,21,11,0.22,7,0.1,0,Normal,India,China,0.724,44,0
79.97.217.48,133.240.105.248,28827,7790,UDP,3251,958,143,22593,28470,15,27,0.85,46,0.89,0,Normal,India,India,0.306,45,0
11.154.96.52,152.174.238.250,41889,1715,ICMP,9383,644,615,34653,20777,27,12,0.81,5,0.59,1,Normal,USA,India,0.563,46,1
13.147.208.72,61.77.172.129,39203,1514,ICMP,7512,755,112,25430,1761,38,12,0.58,26,0.54,0,Normal,China,Russia,0.901,47,0
138.74.200.60,12.30.21.10,62109,4538,UDP,9363,336,663,45971,34190,17,14,0.36,26,0.39,0,Normal,China,UK,0.156,48,0
93.234.226.165,111.38.244.231,9542,1182,UDP,4093,759,1308,39296,19829,9,12,0.45,14,0.04,0,Normal,Germany,Russia,0.712,49,0
195.34.155.128,40.202.127.155,59816,8077,ICMP,9887,708,153,7104,7694,26,21,0.4,43,0.05,0,Normal,UK,UK,0.692,50,1
83.199.107.239,122.148.117.159,18989,256,UDP,942,946,306,18713,10987,26,14,0.54,39,0.52,1,Normal,Germany,India,0.41,51,0
17.243.211.208,47.149.204.225,59169,4084,UDP,5275,437,1100,3709,48782,31,22,0.71,19,0.72,0,Normal,Russia,India,0.626,52,0
139.63.127.211,219.53.9.18,41080,2711,UDP,5028,714,1169,48218,26402,7,15,0.9,16,0.37,0,SQL Injection,India,China,0.839,53,0
153.213.119.96,93.65.137.141,51047,3314,TCP,6412,344,216,30364,13950,1,7,0.17,29,0.79,0,Normal,UK,China,0.705,54,0
76.85.65.81,36.121.1.152,38825,4848,ICMP,3307,496,1038,22194,41321,13,8,0.82,15,0.88,0,Normal,China,China,0.772,55,0
174.252.175.233,216.45.12.145,38271,6479,ICMP,4356,907,1231,14265,47558,1,18,0.97,40,0.51,1,Normal,Germany,Russia,0.357,56,0
165.235.1.20,233.242.169.200,9257,7598,TCP,2631,238,481,12745,41816,25,16,0.69,12,0.53,0,Normal,USA,China,0.524,57,0
76.87.90.182,96.86.204.134,33851,3523,UDP,1151,18,440,45894,18804,43,23,0.99,14,0.93,0,Normal,Germany,India,0.822,58,0
224.224.149.84,244.151.183.255,58918,6972,TCP,8123,23,312,18802,14466,17,9,0,46,0.93,0,Normal,Russia,USA,0.589,59,0
171.148.210.238,12.209.162.112,9351,6859,TCP,4488,59,1380,22577,20189,20,15,0.4,49,0.05,1,Normal,Germany,India,0.968,60,0
122.134.224.99,100.105.118.33,59639,4066,UDP,9152,239,884,6523,45231,18,1,0.42,14,0.1,1,Normal,Germany,China,0.403,61,0
131.191.168.165,49.123.46.44,29930,2146,ICMP,6571,396,1203,46218,15230,12,29,0.66,48,0.69,0,Normal,Germany,China,0.577,62,0
58.133.92.200,186.42.112.225,29929,7592,UDP,5261,33,736,6643,37819,7,12,0.99,5,0.73,0,Normal,Russia,USA,0.451,63,0
77.138.26.46,204.204.197.10,14044,48,ICMP,929,459,417,26302,43183,30,17,0.96,49,0.33,0,Normal,USA,UK,0.722,64,0
182.45.86.155,139.176.158.137,49769,3087,UDP,917,86,1111,26467,15747,11,6,0.31,26,0.33,0,Ransomware,Germany,India,0.26,65,0
242.238.146.151,101.169.72.230,17272,7530,TCP,6169,362,469,32920,24676,36,22,0.61,27,0.19,0,SQL Injection,India,India,0.831,66,0
25.254.216.135,184.185.84.248,33315,5927,ICMP,7003,289,915,25325,25957,20,20,0.01,20,0.91,0,Normal,India,UK,0.781,67,0
234.21.28.190,162.47.163.7,21848,2857,UDP,5235,650,139,7836,2762,40,22,0.96,44,0.87,0,Normal,China,Russia,0.576,68,0
89.45.64.159,171.106.6.182,25654,3756,UDP,1645,204,1023,11204,45467,44,7,0.1,14,0.83,0,Normal,India,UK,0.994,69,0
201.181.147.136,235.238.224.138,43686,7469,ICMP,7748,418,563,22778,48162,42,3,0.16,23,0.06,0,Normal,USA,USA,0.494,70,0
45.1.233.240,23.46.243.158,59974,3686,ICMP,884,985,1164,45163,26016,20,1,0.42,34,0.45,0,Normal,Germany,Russia,0.837,71,0
41.43.59.202,122.23.10.174,62601,896,UDP,8278,803,1125,6317,25337,9,23,0.36,17,0.65,0,Normal,USA,USA,0.506,72,0
92.235.185.42,17.92.219.211,62985,6256,ICMP,4744,944,750,22684,34994,24,9,0.44,49,0.48,0,Normal,Russia,India,0.26,73,0
99.227.28.255,223.178.124.127,43439,6546,TCP,7559,799,1126,4993,30042,31,20,0.66,8,0.89,1,Normal,China,China,0.55,74,0
73.117.55.135,181.13.56.43,11562,1252,UDP,8803,725,99,531,2349,20,18,0.94,27,0.81,0,Normal,Germany,Russia,0.492,75,0
59.6.83.242,172.144.254.70,44699,6260,UDP,5425,505,684,9269,8621,15,19,0.05,38,0.54,0,Normal,India,China,0.485,76,0
